"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"644139",79.2225783034115,1.32409594333523,0.313178877173433,4.2279222509696,2.35859259826293e-05,0.438957668462714
"1230",53.8759947768317,1.04798600637904,0.258360295109068,4.05629667645578,4.98569242916145e-05,0.463943608995618
"5920",200.72032200375,0.834949905637685,0.212037621741658,3.93774415492628,8.22512240633116e-05,0.510259177014098
"2846",21.9103790919416,1.10205458180686,0.293815722594615,3.7508359732246,0.000176245972450858,0.665437379890454
"358",2125.35098783091,0.90624940558328,0.241843082277926,3.74726205540922,0.000178775288778264,0.665437379890454
"4883",24.6650242853663,-0.878393871757767,0.248225579444289,-3.53869199831966,0.000402114736076408,0.999699094339132
"1536",591.123196258112,0.76687880698876,0.219963322469538,3.4863939968672,0.000489579367868958,0.999699094339132
"4973",226.432151464852,0.977748935660838,0.280478719755163,3.4860004228283,0.000490300229863296,0.999699094339132
"541465",11.655918151967,1.88999940159251,0.556536384388296,3.39600330654008,0.000683775335553237,0.999699094339132
"83690",268.127778424815,0.924331730738735,0.272310365637629,3.39440523527029,0.000687778385157418,0.999699094339132
"6347",57.4901498808227,1.70341323595875,0.503125049962117,3.3856657228397,0.000710058207584402,0.999699094339132
"3128",40.90483856499,1.46356151206524,0.432800152612709,3.38161043435424,0.000720622604761389,0.999699094339132
"390075",1.72277363091361,-3.65122677496467,1.09317468765001,-3.34002133072957,0.000837719552754809,0.999699094339132
"200403",38.1876830657096,1.04061755445388,0.313450459963889,3.31987885605198,0.000900565182949852,0.999699094339132
"60401",65.2264320805652,0.96200017394431,0.290615560831397,3.31021563742908,0.000932241219556278,0.999699094339132
"6283",12.7384490714039,-2.87699368723404,0.870322406867899,-3.30566427398751,0.000947515432502937,0.999699094339132
"7098",64.6312532554637,0.611569935502865,0.185278157745641,3.3008204687703,0.000964025480208504,0.999699094339132
"90102",473.735409129787,-1.22463410502192,0.371627918903717,-3.295323205626,0.000983085402096232,0.999699094339132
"5067",1829.29634889612,-0.396064732246533,0.121945533218009,-3.24788224541579,0.00116267377309342,0.999699094339132
"4318",35.5211357850471,-2.15146046873193,0.663905692378931,-3.24061157093373,0.00119273586488449,0.999699094339132
"1117",90.9016365741421,1.59527579753164,0.4944033865897,3.2266684266375,0.0012524049855131,0.999699094339132
"1144",2.25796017341742,-2.9004334974445,0.902063601611151,-3.21533148246323,0.00130293970251339,0.999699094339132
"167410",733.422385637445,0.683493610210024,0.214132480680538,3.19191935776302,0.00141330785210786,0.999699094339132
"5376",1672.5673562976,0.467428946476563,0.147000236279326,3.17978364054033,0.00147385050515673,0.999699094339132
"721",168.44461716094,1.00876938616124,0.319964198764757,3.15275705861987,0.00161736348990855,0.999699094339132
"2670",85202.0907550766,0.839521645742512,0.268207966418178,3.13011450388304,0.00174738177164358,0.999699094339132
"197021",47.006087410419,0.741038154584202,0.236817616249332,3.12915131196999,0.0017531200578574,0.999699094339132
"4837",66.85797879081,-1.35309960714384,0.434130042322318,-3.11680712052459,0.00182821141975004,0.999699094339132
"6121",19.1552579848641,1.65833672512404,0.536209074471072,3.09270544658323,0.00198340892389701,0.999699094339132
"10878",12.1908638149066,1.16167109360461,0.376943195872389,3.08182003634809,0.00205739181094546,0.999699094339132
"388389",282.806748003579,1.03581034620778,0.336361491118438,3.07945580441922,0.00207379136444577,0.999699094339132
"55026",153.768451717452,0.7411280291261,0.24146989757106,3.06923569596496,0.0021460720542353,0.999699094339132
"720",3949.58664098559,0.965630161812119,0.314974906667112,3.06573679798774,0.00217134363143912,0.999699094339132
